📺央视频道,#genre#
CCTV-1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
CCTV-1,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228318/1/index.m3u8?fmt=ts2hls
CCTV-1,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225673/1.m3u8
CCTV-1,http://[2409:8087:1a15:10d1::02]/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1,http://[2409:8087:1a15:10d1::06]/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1,http://[2409:8087:1a15:10d1::08]/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1,http://[2409:8087:1a15:10d1::10]/PLTV/88888888/224/3221225816/1.m3u8
CCTV-2,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8
CCTV-2,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8
CCTV-2,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226540/index.m3u8
CCTV-2,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228348/1/index.m3u8?fmt=ts2hls
CCTV-2,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226122/1.m3u8
CCTV-2,http://[2409:8087:1a15:10d1::04]/PLTV/88888888/224/3221226079/1.m3u8
CCTV-2,http://[2409:8087:1a15:10d1::06]/PLTV/88888888/224/3221226079/1.m3u8
CCTV-2,http://[2409:8087:1a15:10d1::08]/PLTV/88888888/224/3221226079/1.m3u8
CCTV-3,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226471/1.m3u8
CCTV-3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-3,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232596/1/index.m3u8?fmt=ts2hls
CCTV-3,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225766/1.m3u8
CCTV-3,http://[2409:8087:1a15:10d1::02]/PLTV/88888888/224/3221225799/1.m3u8
CCTV-3,http://[2409:8087:1a15:10d1::04]/PLTV/88888888/224/3221225799/1.m3u8
CCTV-3,http://[2409:8087:1a15:10d1::06]/PLTV/88888888/224/3221225799/1.m3u8
CCTV-3,http://[2409:8087:1a15:10d1::10]/PLTV/88888888/224/3221225799/1.m3u8
CCTV-4,https://migu.188766.xyz/?migutoken=14ae13263503b6fdec10b833a8aee724&id=CCTV4%E7%BE%8E%E6%B4%B2&type=yy
CCTV-4,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8
CCTV-4,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226007/index.m3u8
CCTV-4,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229749/1/index.m3u8?fmt=ts2hls
CCTV-4,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226124/1.m3u8
CCTV-4,http://[2409:8087:1a15:10d1::04]/PLTV/88888888/224/3221226092/1.m3u8
CCTV-4,http://[2409:8087:1a15:10d1::06]/PLTV/88888888/224/3221226092/1.m3u8
CCTV-4,http://[2409:8087:1a15:10d1::08]/PLTV/88888888/224/3221226092/1.m3u8
CCTV-5,https://migu.188766.xyz/?migutoken=e5ff77b01fe36e30113bc7f056fd7f0f&id=CCTV5&type=yy
CCTV-5,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226469/1.m3u8
CCTV-5,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226019/index.m3u8
CCTV-5,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229687/1/index.m3u8?fmt=ts2hls
CCTV-5,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225734/1.m3u8
CCTV-5,http://[2409:8087:1a15:10d1::04]/PLTV/88888888/224/3221225818/1.m3u8
CCTV-5,http://[2409:8087:1a15:10d1::06]/PLTV/88888888/224/3221225818/1.m3u8
CCTV-5,http://[2409:8087:1a15:10d1::08]/PLTV/88888888/224/3221225818/1.m3u8
CCTV-6,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226468/1.m3u8
CCTV-6,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226010/index.m3u8
CCTV-6,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232599/1/index.m3u8?fmt=ts2hls
CCTV-6,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225741/1.m3u8
CCTV-6,http://[2409:8087:1a15:10d1::02]/PLTV/88888888/224/3221225814/1.m3u8
CCTV-6,http://[2409:8087:1a15:10d1::08]/PLTV/88888888/224/3221225814/1.m3u8
CCTV-6,http://[2409:8087:1a15:10d1::10]/PLTV/88888888/224/3221225814/1.m3u8
CCTV-6,http://[2409:8087:1a15:10d1::14]/PLTV/88888888/224/3221225814/1.m3u8
CCTV-7,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226946/1.m3u8
CCTV-7,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-7,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228330/1/index.m3u8?fmt=ts2hls
